Anarchias galapagensis
Anarchias leucurus
Anarchias seychellensis
Anarchias similis
Anarchopterus criniger
Anarchopterus tectus
Anarhichas denticulatus
Anarhichas lupus
Anarhichas minor
Anarrhichthys ocellatus
Anatolichthys anatoliae
Anatolichthys danfordii
Anatolichthys villwocki
Ancherythroculter kurematsui
Ancherythroculter nigrocauda
Ancherythroculter wangi
Anchichoerops natalensis
Anchoa argentivittata
Anchoa cayorum
Anchoa filifera
Anchoa hepsetus
Anchoa ischana
Anchoa januaria
Anchoa lucida
Anchoa lyolepis
Anchoa marinii
Anchoa mitchilli
Anchoa mundeola
Anchoa nasus
Anchoa panamensis
Anchoa spinifer
Anchoa starksi
Anchoa tricolor
Anchoa walkeri
Anchovia clupeoides
Anchovia macrolepidota
Anchovia surinamensis
Anchoviella balboae
Anchoviella brevirostris
Anchoviella guianensis
Anchoviella lepidentostole
Anchoviella sanfranciscana
Ancistrogobius dipus
Ancistrogobius squamiceps
Ancistrogobius yanoi
Ancistrogobius yoshigoui
Ancistrus ranunculus
Ancistrus spinosus
Ancistrus taunayi
Ancistrus triradiatus
Ancylopsetta dendritica
Ancylopsetta dilecta
Andamia heteroptera
Andamia reyi
Andamia tetradactylus
Andinoacara biseriatus
Andinoacara coeruleopunctatus
Andinoacara pulcher
Andinoacara rivulatus
Andinoacara stalsbergi
Anduzedoras oxyrhynchus
Anematichthys repasson
Anguilla anguilla
Anguilla australis
Anguilla bengalensis
Anguilla bicolor
Anguilla dieffenbachii
Anguilla japonica
Anguilla luzonensis
Anguilla malgumora
Anguilla marmorata
Anguilla megastoma
Anguilla mossambica
Anguilla obscura
Anguilla reinhardtii
Anguilla rostrata
Anisochromis kenyae
Anisotremus caesius
Anisotremus davidsonii
Anisotremus interruptus
Anisotremus scapularis
Anisotremus surinamensis
Anisotremus taeniatus
Anisotremus virginicus
Annamia normani
Annamia thuathienensis
Anodontostoma chacunda
Anodus elongatus
Anodus orinocensis
Anomalochromis thomasi
Anomalops katoptron
Anoplarchus insignis
Anoplarchus purpurescens
Anoplocapros amygdaloides
Anoplocapros inermis
Anoplocapros lenticularis
Anoplogaster cornuta
Anoplopoma fimbria
Anostomoides laticeps
Anostomus anostomus
Anostomus brevior
Anostomus ternetzi
Anotopterus nikparini
Anotopterus pharao
Anotopterus vorax
Anoxypristis cuspidata
Antennablennius adenensis
Antennablennius australis
Antennablennius bifilum
Antennablennius hypenetes
Antennablennius simonyi
Antennablennius variopunctatus
Antennarius biocellatus
Antennarius commerson
Antennarius hispidus
Antennarius indicus
Antennarius maculatus
Antennarius multiocellatus
Antennarius pardalis
Antennarius pauciradiatus
Antennarius pictus
Antennarius randalli
Antennarius striatus
Antennatus linearis
Antennatus strigatus
Antennatus tuberosus
Anthias anthias
Anthias asperilinguis
Anthias helenensis
Anthias menezesi
Anthias nicholsi
Antigonia capros
Antigonia combatia
Antigonia rhomboidea
Antigonia rubescens
Antigonia rubicunda
Antilligobius nikkiae
Antimora rostrata
Anyperodon leucogrammicus
Apareiodon affinis
Apareiodon davisi
Apareiodon hasemani
Apareiodon ibitiensis
Apareiodon piracicabae
Apareiodon vladii
Apeltes quadracus
Aphaniops dispar
Aphaniops furcatus
Aphaniops ginaonis
Aphaniops sirhani
Aphanius fasciatus
Aphanopus carbo
Aphanotorulus ammophilus
Aphanotorulus unicolor
Aphareus furca
Aphia minuta
Aphos porosus
Aphredoderus sayanus
Aphyocharax alburnus
Aphyocharax anisitsi
Aphyocharax dentatus
Aphyocharax erythrurus
Aphyocharax nattereri
Aphyocharax rathbuni
Aphyocypris arcus
Aphyocypris chinensis
Aphyocypris kikuchii
Aphyocypris lini
Aphyocypris moltrechti
Aphyocypris normalis
Aphyolebias obliquus
Aphyolebias peruensis
Aphyolebias rubrocaudatus
Aphyolebias schleseri
Aphyolebias wischmanni
Aphyosemion abacinum
Aphyosemion ahli
Aphyosemion alpha
Aphyosemion amoenum
Aphyosemion aureum
Aphyosemion australe
Aphyosemion bamilekorum
Aphyosemion batesii
Aphyosemion bitaeniatum
Aphyosemion bivittatum
Aphyosemion buytaerti
Aphyosemion callipteron
Aphyosemion calliurum
Aphyosemion cameronense
Aphyosemion campomaanense
Aphyosemion castaneum
Aphyosemion caudofasciatum
Aphyosemion celiae
Aphyosemion chauchei
Aphyosemion christyi
Aphyosemion citrineipinnis
Aphyosemion coeleste
Aphyosemion cognatum
Aphyosemion congicum
Aphyosemion cyanostictum
Aphyosemion dargei
Aphyosemion ecucuense
Aphyosemion edeanum
Aphyosemion elberti
Aphyosemion elegans
Aphyosemion erythron
Aphyosemion escherichi
Aphyosemion etsamense
Aphyosemion exigoideum
Aphyosemion exiguum
Aphyosemion fellmanni
Aphyosemion ferranti
Aphyosemion franzwerneri
Aphyosemion fulgens
Aphyosemion gabunense
Aphyosemion georgiae
Aphyosemion hanneloreae
Aphyosemion heinemanni
Aphyosemion hera
Aphyosemion herzogi
Aphyosemion hofmanni
Aphyosemion joergenscheeli
Aphyosemion kouamense
Aphyosemion koungueense
Aphyosemion labarrei
Aphyosemion lambertorum
Aphyosemion lefiniense
Aphyosemion lividum
Aphyosemion loennbergii
Aphyosemion louessense
Aphyosemion lugens
Aphyosemion lujae
Aphyosemion maculatum
Aphyosemion malumbresi
Aphyosemion melanogaster
Aphyosemion melinoeides
Aphyosemion mimbon
Aphyosemion musafirii
Aphyosemion ocellatum
Aphyosemion ogoense
Aphyosemion omega
Aphyosemion pascheni
Aphyosemion passaroi
Aphyosemion plagitaenium
Aphyosemion poliaki
Aphyosemion polli
Aphyosemion primigenium
Aphyosemion pseudoelegans
Aphyosemion punctatum
Aphyosemion punctulatum
Aphyosemion raddai
Aphyosemion rectogoense
Aphyosemion riggenbachi
Aphyosemion schioetzi
Aphyosemion schluppi
Aphyosemion seegersi
Aphyosemion splendopleure
Aphyosemion striatum
Aphyosemion teugelsi
Aphyosemion thysi
Aphyosemion tirbaki
Aphyosemion volcanum
Aphyosemion wachtersi
Aphyosemion wildekampi
Aphyosemion wuendschi
Aphyosemion zygaima
Apionichthys dumerili
Apionichthys finis
Apionichthys nattereri
Apistogramma acrensis
Apistogramma agassizii
Apistogramma allpahuayo
Apistogramma atahualpa
Apistogramma baenschi
Apistogramma barlowi
Apistogramma borellii
Apistogramma cacatuoides
Apistogramma caetei
Apistogramma commbrae
Apistogramma cruzi
Apistogramma eremnopyge
Apistogramma erythrura
Apistogramma geisleri
Apistogramma gephyra
Apistogramma gossei
Apistogramma guttata
Apistogramma hippolytae
Apistogramma hoignei
Apistogramma hongsloi
Apistogramma huascar
Apistogramma inconspicua
Apistogramma iniridae
Apistogramma juruensis
Apistogramma lineata
Apistogramma luelingi
Apistogramma macmasteri
Apistogramma meinkeni
Apistogramma nijsseni
Apistogramma norberti
Apistogramma ortmanni
Apistogramma panduro
Apistogramma pantalone
Apistogramma payaminonis
Apistogramma pulchra
Apistogramma rositae
Apistogramma rubrolineata
Apistogramma similis
Apistogramma trifasciata
Apistogramma urteagai
Apistogramma velifera
Apistogramma viejita
Apistoloricaria condei
Apistops caloundra
Apistus carinatus
Aplatophis chauliodus
Aplatophis zorro
Apletodon barbatus
Apletodon dentatus
Apletodon gabonensis
Apletodon incognitus
Apletodon pellegrini
Apletodon wirtzi
Aploactis aspera
Aploactisoma milesii
Aplocheilus blockii
Aplocheilus dayi
Aplocheilus kirchmayeri
Aplocheilus lineatus
Aplocheilus panchax
Aplocheilus parvus
Aplocheilus werneri
Aplochiton zebra
Aplodactylus arctidens
Aplodactylus etheridgii
Aplodactylus lophodon
Aplodactylus punctatus
Aplodinotus grunniens
Apocryptes bato
Apocryptodon madurensis
Apocryptodon punctatus
Apodichthys flavidus
Apodichthys fucorum
Apogon americanus
Apogon atradorsatus
Apogon atricaudus
Apogon axillaris
Apogon binotatus
Apogon campbelli
Apogon caudicinctus
Apogon ceramensis
Apogon coccineus
Apogon crassiceps
Apogon dammermani
Apogon deetsie
Apogon dhofar
Apogon doryssa
Apogon dovii
Apogon erythrinus
Apogon erythrosoma
Apogon guadalupensis
Apogon imberbis
Apogon indicus
Apogon kautamea
Apogon lachneri
Apogon lativittatus
Apogon maculatus
Apogon mosavi
Apogon nitidus
Apogon pacificus
Apogon phenax
Apogon pillionatus
Apogon planifrons
Apogon posterofasciatus
Apogon pseudomaculatus
Apogon quadrisquamatus
Apogon retrosella
Apogon robbyi
Apogon robinsi
Apogon rubrifuscus
Apogon seminigracaudus
Apogon semiornatus
Apogon talboti
Apogon townsendi
Apogon tricinctus
Apogon unicolor
Apogonichthyoides brevicaudatus
Apogonichthyoides cathetogramma
Apogonichthyoides chrysurus
Apogonichthyoides erdmanni
Apogonichthyoides gardineri
Apogonichthyoides heptastygma
Apogonichthyoides melas
Apogonichthyoides niger
Apogonichthyoides nigripinnis
Apogonichthyoides opercularis
Apogonichthyoides pharaonis
Apogonichthyoides pseudotaeniatus
Apogonichthyoides sialis
Apogonichthyoides taeniatus
Apogonichthyoides timorensis
Apogonichthyoides umbratilis
Apogonichthyoides uninotatus
Apogonichthys ocellatus
Apogonichthys perdix
Apolemichthys arcuatus
Apolemichthys armitagei
Apolemichthys griffisi
Apolemichthys guezei
Apolemichthys kingi
Apolemichthys trimaculatus
Apolemichthys xanthopunctatus
Apolemichthys xanthotis
Apolemichthys xanthurus
Apopterygion alta
Aporops bilinearis
Aprion virescens
Apristurus australis
Apristurus breviventralis
Apristurus brunneus
Apristurus exsanguis
Apristurus gibbosus
Apristurus laurussonii
Apristurus nakayai
Apristurus nasutus
Apristurus parvipinnis
Apristurus profundorum
Apterichtus anguiformis
Apterichtus australis
Apterichtus caecus
Apterichtus equatorialis
Apterichtus flavicaudus
Apterichtus hatookai
Apterichtus jeffwilliamsi
Apterichtus klazingai
Apteronotus albifrons
Apteronotus bonapartii
Apteronotus cuchillejo
Apteronotus cuchillo
Apteronotus ellisi
Apteronotus leptorhynchus
Apteronotus lindalvae
Apteronotus magdalenensis
Apterygocampus epinnulatus
Aptocyclus ventricosus
Aptychotrema rostrata
Arabibarbus grypus
Aracana aurita
Aracana ornata
Arapaima gigas
Archamia bleekeri
Archiaphyosemion guineense
Archistes biseriatus
Archocentrus centrarchus
Archoplites interruptus
Archosargus pourtalesii
Archosargus probatocephalus
Archosargus rhomboidalis
Arcos decoris
Arcos erythrops
Arcos nudus
Arcos poecilophthalmos
Arcos rhodospilus
Arctogadus glacialis
Arctoscopus japonicus
Arctozenus risso
Arcygobius baliurus
Arenigobius bifrenatus
Argentina aliceae
Argentina brasiliensis
Argentina elongata
Argentina georgei
Argentina sialis
Argentina silus
Argentina sphyraena
Argentina striata
Argentinolycus elongatus
Argonectes longiceps
Argonectes robertsi
Argopleura magdalenensis
Argyripnus atlanticus
Argyripnus iridescens
Argyropelecus aculeatus
Argyropelecus affinis
Argyropelecus gigas
Argyropelecus hemigymnus
Argyropelecus lychnus
Argyropelecus olfersii
Argyropelecus sladeni
Argyrops bleekeri
Argyrops filamentosus
Argyrops spinifer
Argyrosomus amoyensis
Argyrosomus coronus
Argyrosomus heinii
Argyrosomus hololepidotus
Argyrosomus japonicus
Argyrosomus regius
Argyrozona argyrozona
Ariomma bondi
Ariomma brevimanus
Ariomma indica
Ariomma melana
Ariomma regulus
Ariopsis assimilis
